year,month,day,customer_segment,customer_type,product_segment,product_type,manager,company,service,retail,customerType,unit,product,region,customer,sales,amount,profit
2012,1,1,C,ABC классификация,Овощи/фрукты,Категория,Смирнов,ООО Опт,Товар,Прочее,Внешние,т,"Товар №1018, т",Ярославская обл,Покупатель №286,75000.0,1.5,8934.09
2012,1,1,Крупный опт,Папка 1С,Молочка,Категория,Иванов,ООО Опт,Товар,Прочее,Внешние,т,"Товар №8924, т",Московская обл,Покупатель №859,57000.0,1.5,9292.26
2012,1,1,Московская обл,Регион,Свои услуги,Происхождение,Иванов,ООО Опт,Услуга,Прочее,Внешние,т,"Услуга №56, т",Московская обл,ПокупательПоставщик №838,3840.0,3.2,3840.0
2012,1,1,Ярославская обл,Регион,Мясные консервы,Папка 1С,Смирнов,ООО Опт,Товар,Прочее,Внешние,т,"Товар №8725, т",Ярославская обл,Покупатель №323,1244560.0,35.6,240131.58
2012,2,1,B,ABC классификация,Овощи/фрукты,Категория,Сидоров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №12274, т",Московская обл,Покупатель №1312,1509275.0,40.0,473275.0
2012,2,1,C,ABC классификация,Россия,Происхождение,Петров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №8924, т",Ивановская обл,Покупатель №172,11400.0,0.3,1889.79
2012,2,1,Ивановская обл,Регион,Сыры,Папка 1С,Петров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №8924, т",Ивановская обл,Покупатель №172,11400.0,0.3,1889.79
2012,2,1,Мелкий опт,Папка 1С,Молочка,Категория,Сидоров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №8924, т",Московская обл,Покупатель №1145,400.0,0.01,82.88
2012,2,1,Поставщики,Папка 1С,Колбасное производство,Папка 1С,Иванов,ООО Опт,Услуга,Прочее,Внешние,т,"Услуга №176, т",Московская обл,ПокупательПоставщик №838,119304.0,99.42,119304.0
2012,2,1,Ярославская обл,Регион,Бакалея,Категория,Алексеев,ООО Опт,Товар,Прочее,Внешние,т,"Товар №5093, т",Ярославская обл,Покупатель №809,7600000.0,200.0,1554685.58
2012,3,1,A,ABC классификация,Свои услуги,Происхождение,Иванов,ООО Опт,Услуга,Прочее,Внешние,т,"Услуга №174, т",Московская обл,ПокупательПоставщик №838,600902.4,500.75,600902.4
2012,3,1,C,ABC классификация,Россия,Происхождение,Петров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №8924, т",Московская обл,Покупатель №147,699751.01,18.0,121806.27
2012,3,1,Ивановская обл,Регион,Услуги,Папка 1С,Петров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №4507, т",Ивановская обл,Покупатель №964,27318.0,0.94,14203.87
2012,3,1,Московская обл,Регион,Бакалея,Категория,Сидоров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №5093, т",Московская обл,Покупатель №175,720000.0,20.0,-30957.04
2012,3,1,Ритейл,Папка 1С,Овощи/фрукты,Категория,Сидоров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №1018, т",Ивановская обл,Покупатель №1032,50000.0,1.0,8236.62
2012,3,1,Ярославская обл,Регион,Сыры,Папка 1С,Алексеев,ООО Опт,Товар,Прочее,Внешние,т,"Товар №8924, т",Ярославская обл,Покупатель №1193,614264.64,16.0,100658.87
2012,4,1,C,ABC классификация,Овощи,Папка 1С,Иванов,ООО Опт,Товар,Прочее,Внешние,т,"Товар №1018, т",Московская обл,Покупатель №859,5000.0,0.1,969.28
2012,4,1,Вологодская обл,Регион,Сыры,Папка 1С,Сидоров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №8924, т",Вологодская обл,Покупатель №1166,800.0,0.02,143.78
2012,4,1,Крупный опт,Папка 1С,Россия,Происхождение,Петров,ООО Опт,Товар,Прочее,Внешние,т,"Товар №9997, т",Московская обл,Покупатель №808,140000.0,2.0,15645.71
